t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
1300.0,baseline,17.459286317883635,16.14930093169928,16.341871760103196,15.918450137723504,16.237924478596263,-1.51,-1.91,-1.85,-1.97,-1.88,0.0,411.6
1310.0,baseline,17.417559791495353,16.173262201003507,16.336722147063238,15.943731157990944,16.233084168725572,-1.52,-1.9,-1.85,-1.97,-1.88,0.0,405.0
1320.0,baseline,17.442132249934957,16.134479395703156,16.33239827131312,15.90857319321449,16.228942144199685,-1.52,-1.91,-1.85,-1.98,-1.88,0.0,398.7
1330.0,baseline,17.558609995995273,16.294325672861355,16.186142047874785,16.054203478826103,16.0918263508944,-1.48,-1.86,-1.89,-1.93,-1.92,0.0,392.8
1340.0,baseline,17.561916831681987,16.298791527669056,16.118745920814717,16.057911648414855,16.02691199880069,-1.48,-1.86,-1.91,-1.93,-1.94,0.0,387.4
1350.0,baseline,17.540313340874828,16.278628481905123,16.06627755798845,16.03964323630908,15.975875521973178,-1.49,-1.87,-1.93,-1.94,-1.96,0.0,382.4
1360.0,baseline,17.50856523863578,16.248389597920735,16.018835726341646,16.011886650156,15.930015419547827,-1.5,-1.88,-1.94,-1.95,-1.97,0.0,377.9
1370.0,baseline,17.472926547287102,16.214520209204498,15.972505251602378,15.980090914684098,15.88598682640979,-1.51,-1.89,-1.96,-1.96,-1.98,0.0,373.9
1380.0,baseline,17.43544823195249,16.178181181256154,15.925708557504368,15.94538251686708,15.842210738299391,-1.52,-1.9,-1.97,-1.97,-2.0,0.0,370.3
1390.0,baseline,17.40098726639857,16.142481992027932,15.88382782203817,15.914116569977764,15.80325303825835,-1.53,-1.91,-1.98,-1.98,-2.01,0.0,367.1
1400.0,baseline,17.37518283073372,16.11312709998646,15.849369852751341,15.889420655531778,15.771514901924354,-1.54,-1.92,-2.0,-1.98,-2.02,0.0,364.3
1410.0,baseline,17.353416349333983,16.086535014100004,15.818324555398421,15.86724793712935,15.7427148504459,-1.54,-1.92,-2.0,-1.99,-2.03,0.0,361.9
1420.0,baseline,17.333373065498925,16.061100640626258,15.789044439221204,15.845890085758041,15.715192751413317,-1.55,-1.93,-2.01,-2.0,-2.04,0.0,359.9
1430.0,baseline,17.31432336084597,16.03644086645092,15.761091024946142,15.824967645976376,15.688554426708125,-1.56,-1.94,-2.02,-2.0,-2.04,0.0,358.1
1440.0,baseline,17.295966150281515,16.012412544271793,15.734248285049464,15.804371148783376,15.662645995531852,-1.56,-1.95,-2.03,-2.01,-2.05,0.0,350.0
10.0,baseline,17.25755205464528,15.971507129464726,15.691228054383224,15.766428447063378,15.620605270285699,-1.57,-1.96,-2.04,-2.02,-2.06,0.0,350.0
20.0,baseline,17.233352499993398,15.946155474531018,15.664177825285437,15.744032169973655,15.594495034164602,-1.58,-1.97,-2.05,-2.03,-2.07,0.0,350.0
30.0,baseline,17.212837335597374,15.923914129595703,15.64000063867084,15.724662010363849,15.571199081907675,-1.59,-1.97,-2.06,-2.03,-2.08,0.0,350.0
40.0,baseline,17.193971357436624,15.903175279628845,15.617417743210767,15.706741641964864,15.549454396618959,-1.59,-1.98,-2.06,-2.04,-2.09,0.0,350.0
49.99999999999999,baseline,17.175973886229528,15.883290109129833,15.59584318891923,15.689635156719529,15.528679966122011,-1.6,-1.99,-2.07,-2.04,-2.09,0.0,350.0
60.0,baseline,17.158573974027682,15.864044895125977,15.575080983713592,15.673136326177616,15.508685305216968,-1.6,-1.99,-2.08,-2.05,-2.1,0.0,350.0
70.0,baseline,17.141529490029935,15.843111227640113,15.553013850613267,15.655052041082948,15.487079293325056,-1.61,-2.0,-2.08,-2.05,-2.1,0.0,350.0
80.0,baseline,17.12484031240568,15.82235441406274,15.531371984546606,15.637032295542685,15.465743064002247,-1.61,-2.0,-2.09,-2.06,-2.11,0.0,350.0
90.0,baseline,17.10846487325301,15.80184311132409,15.510132608505371,15.619145907457632,15.444671674799013,-1.62,-2.01,-2.1,-2.06,-2.12,0.0,350.0
99.99999999999999,baseline,17.09236907270059,15.781601517418927,15.489287094286931,15.601426216226905,15.423878911389016,-1.62,-2.02,-2.1,-2.07,-2.12,0.0,350.0
110.0,baseline,17.076526216061907,15.761625366517682,15.468810583519504,15.58388037315312,15.4033577646296,-1.63,-2.02,-2.11,-2.07,-2.13,0.0,350.0
120.0,baseline,17.060915103454757,15.741907250003296,15.448681210758554,15.566511630534267,15.383101950308136,-1.63,-2.03,-2.12,-2.08,-2.14,0.0,350.0
130.0,baseline,17.05021265316151,15.727600544410132,15.434106382134193,15.554034949879163,15.368265014135382,-1.63,-2.03,-2.12,-2.08,-2.14,0.0,350.0
140.0,baseline,17.04104214610152,15.714739056316253,15.420886330689195,15.542722853549447,15.354583430248569,-1.64,-2.04,-2.12,-2.09,-2.14,0.0,350.0
150.0,baseline,17.032386321056403,15.702436572722652,15.408216740578862,15.531878106103825,15.341384391990772,-1.64,-2.04,-2.13,-2.09,-2.15,0.0,350.0
160.0,baseline,17.024342294194724,15.690867308910661,15.3963165982659,15.521682476659771,15.328922703167322,-1.64,-2.04,-2.13,-2.09,-2.15,0.0,350.0
169.99999999999997,baseline,17.01685987433732,15.680002000881604,15.385156838655847,15.512119185175203,15.317183209699577,-1.64,-2.05,-2.13,-2.1,-2.15,0.0,350.0
180.0,baseline,17.00985096868471,15.669754506624372,15.374647706835278,15.503117043017758,15.306084370650066,-1.65,-2.05,-2.14,-2.1,-2.16,0.0,350.0
190.0,baseline,16.99454582224509,15.651498862714153,15.355946222675836,15.487226292276118,15.28750611884342,-1.65,-2.05,-2.14,-2.1,-2.16,0.0,350.0
200.0,baseline,16.977050914814956,15.631722333491446,15.336007287874565,15.470154145703427,15.267962025198006,-1.66,-2.06,-2.15,-2.11,-2.17,0.0,350.0
210.0,baseline,16.9585189058227,15.611204166015538,15.31542860332286,15.452472923790081,15.24786869700524,-1.66,-2.07,-2.16,-2.11,-2.18,0.0,350.0
220.0,baseline,16.939448537294027,15.590240947143274,15.294464286842965,15.434437117275692,15.2274548482065,-1.67,-2.07,-2.16,-2.12,-2.18,0.0,350.0
229.99999999999997,baseline,16.920074194172223,15.56899391403757,15.273252878981719,15.416182343019898,15.206847647506304,-1.67,-2.08,-2.17,-2.13,-2.19,0.0,350.0
240.0,baseline,16.900492789209984,15.54753352347492,15.2518540292398,15.397766617876721,15.186099669832638,-1.68,-2.09,-2.17,-2.13,-2.19,0.0,350.0
250.00000000000003,baseline,16.87666524995098,15.52088403054291,15.225303855676069,15.374518881148388,15.16013147058439,-1.69,-2.09,-2.18,-2.14,-2.2,0.0,350.0
260.0,baseline,16.85154068363277,15.492874386915922,15.197571701457179,15.350020138090155,15.132984816577357,-1.69,-2.1,-2.19,-2.14,-2.21,0.0,350.0
270.0,baseline,16.825805167560564,15.464170070758422,15.169209618425503,15.324885318501643,15.105219460440274,-1.7,-2.11,-2.2,-2.15,-2.22,0.0,349.9
